"(HM) daily(2026.05.01.~2026.05.23.),1921185"
일별,캠페인유형,노출수,클릭수,총비용
2026.05.01.,파워컨텐츠,1769,180,151697
2026.05.02.,파워컨텐츠,1798,176,145081
2026.05.03.,파워컨텐츠,2003,205,149838
2026.05.04.,파워컨텐츠,2402,230,165639
2026.05.05.,파워컨텐츠,2099,244,173087
2026.05.06.,파워컨텐츠,2694,244,167224
2026.05.07.,파워컨텐츠,2537,235,129334
2026.05.08.,파워컨텐츠,2234,201,108092
2026.05.09.,파워컨텐츠,2057,161,103443
2026.05.10.,파워컨텐츠,2273,203,122505
2026.05.11.,파워컨텐츠,2749,233,140887
2026.05.12.,파워컨텐츠,2772,189,133237
2026.05.13.,파워컨텐츠,2762,197,147897
2026.05.14.,파워컨텐츠,2615,179,114699
2026.05.15.,파워컨텐츠,2172,156,146746
2026.05.16.,파워컨텐츠,2010,175,170131
2026.05.17.,파워컨텐츠,2311,208,187097
2026.05.18.,파워컨텐츠,3119,239,205882
2026.05.19.,파워컨텐츠,2853,260,203860
2026.05.20.,파워컨텐츠,2717,257,181277
2026.05.21.,파워컨텐츠,2563,246,197317
2026.05.22.,파워컨텐츠,2464,181,158135
2026.05.23.,파워컨텐츠,2101,184,125017
