"비즈채널명","시작일","종료일","노출수","클릭수","클릭률","비용"
"","2026-05-01","2026-05-01","365","0","0%","0"
"","2026-05-02","2026-05-02","395","0","0%","0"
"","2026-05-03","2026-05-03","396","0","0%","0"
"","2026-05-04","2026-05-04","561","1","0.178%","70"
"","2026-05-05","2026-05-05","432","0","0%","0"
"","2026-05-06","2026-05-06","929","1","0.108%","5,070"
"","2026-05-07","2026-05-07","886","1","0.113%","370"
"","2026-05-08","2026-05-08","711","0","0%","0"
"","2026-05-09","2026-05-09","513","1","0.195%","220"
"","2026-05-10","2026-05-10","428","0","0%","0"
"","2026-05-11","2026-05-11","742","0","0%","0"
"","2026-05-12","2026-05-12","854","2","0.234%","140"
"","2026-05-13","2026-05-13","708","0","0%","0"
"","2026-05-14","2026-05-14","728","0","0%","0"
"","2026-05-15","2026-05-15","576","0","0%","0"
"","2026-05-16","2026-05-16","364","0","0%","0"
"","2026-05-17","2026-05-17","424","0","0%","0"
"","2026-05-18","2026-05-18","581","0","0%","0"
"","2026-05-19","2026-05-19","622","1","0.161%","70"
"","2026-05-20","2026-05-20","670","5","0.746%","550"
"","2026-05-21","2026-05-21","601","0","0%","0"
"","2026-05-22","2026-05-22","596","0","0%","0"
"","2026-05-23","2026-05-23","359","3","0.836%","390"
"","2026-05-24","2026-05-24","302","3","0.993%","450"
